PVP,Edad_Media_Coche,Km_Medio_Por_Revision,churn_percentage,Revision,Margen
21818,1.9791666666666667,56905,0.1875,1.0,33.0
22814,2.0634920634920637,31952,0.5873015873015873,1.0,33.0
31968,3.1666666666666665,93782,0.16666666666666666,1.0,43.0
28719,1.6666666666666667,58609,0.0,1.0,43.0
17550,1.9626168224299065,39867,0.29439252336448596,1.0,33.0
29003,2.096774193548387,78216,0.0967741935483871,1.0,33.0
24048,1.0,0,0.3333333333333333,1.0,33.0
24165,4.5,42115,0.5,1.0,33.0
16199,2.234375,29681,0.53125,1.0,33.0
31187,1.5625,44133,0.0,1.0,5.0
30022,2.4444444444444446,10419,0.7037037037037037,1.0,43.0
28765,2.7083333333333335,49002,0.25,1.0,43.0
19448,1.0,0,1.0,1.0,33.0
30377,2.168032786885246,15803,0.4672131147540984,1.0,33.0
28078,2.4,42366,0.2,1.0,43.0
33726,2.76,25209,0.52,1.0,43.0
29149,2.5714285714285716,42694,0.17857142857142858,1.0,43.0
24904,1.1818181818181819,56560,0.0,1.0,33.0
22960,1.8279569892473118,54412,0.11827956989247312,1.0,33.0
22290,1.5454545454545454,16702,0.5454545454545454,1.0,33.0
16122,2.0,49458,0.375,1.0,28.0
26278,1.935483870967742,53335,0.06451612903225806,1.0,33.0
30262,1.9375,52677,0.140625,1.0,5.0
29103,1.75,56926,0.03571428571428571,1.0,43.0
23547,2.130630630630631,9208,0.5765765765765766,1.0,43.0
29080,2.3333333333333335,20232,0.543859649122807,1.0,43.0
32916,2.4297520661157024,60657,0.08264462809917356,1.008333333333,43.0
16391,0.0,0,0.0,1.0,33.0
34808,2.09009009009009,56314,0.14414414414414414,1.0,5.0
21812,2.4,44310,0.3,1.0,33.0
26389,2.0408719346049047,56565,0.18256130790190736,1.0,33.0
28642,2.3846153846153846,50810,0.3076923076923077,1.0,5.0
29389,0.0,0,0.0,1.0,33.0
23484,2.0,32429,0.6,1.0,33.0
31001,2.185185185185185,49644,0.17901234567901234,1.0,33.0
26495,1.96137339055794,39469,0.18025751072961374,1.0,43.0
23378,1.9195402298850575,49088,0.06896551724137931,1.0,43.0
19949,2.0555555555555554,54144,0.19444444444444445,1.0,33.0
23687,1.847457627118644,54424,0.13559322033898305,1.0,33.0
22937,4.333333333333333,149119,0.3333333333333333,1.0,33.0
25004,2.079136690647482,52981,0.2517985611510791,1.0,33.0
32578,1.9298245614035088,39585,0.10526315789473684,1.0,33.0
20922,1.0,30112,0.0,1.0,33.0
21672,2.6666666666666665,70816,0.16666666666666666,1.0,33.0
22004,2.0,36205,0.3333333333333333,1.0,33.0
23246,2.6363636363636362,73669,0.36363636363636365,1.0,33.0
24228,1.8373983739837398,43054,0.08943089430894309,1.0,43.0
32392,1.9005235602094241,10343,0.5654450261780105,1.010582010582,33.0
33471,1.0,0,1.0,1.0,33.0
34307,0.0,0,0.0,1.0,5.0
33720,0.0,0,0.0,1.0,43.0
20089,2.2167832167832167,25397,0.3776223776223776,1.0,33.0
27909,2.1810344827586206,55081,0.3103448275862069,1.0,33.0
24274,2.0386473429951693,34916,0.2608695652173913,1.0,43.0
22353,2.1481481481481484,37341,0.35185185185185186,1.0,33.0
18861,2.125,33218,0.125,1.0,33.0
25353,2.0,64521,0.15384615384615385,1.0,33.0
24420,4.333333333333333,0,1.0,1.0,42.0
12581,2.2794117647058822,36118,0.3235294117647059,1.0,28.0
25316,2.21981981981982,35147,0.3027027027027027,1.0,33.0
16660,2.4047619047619047,34743,0.5595238095238095,1.0,33.0
29395,1.5,25708,0.2857142857142857,1.0,33.0
33474,1.0,41486,0.2,1.0,33.0
19056,2.183673469387755,40568,0.40816326530612246,1.0,33.0
13056,1.9508196721311475,29998,0.3401639344262295,1.0,28.0
25671,1.9574468085106382,55582,0.1276595744680851,1.0,37.0
21331,1.8333333333333333,52101,0.3333333333333333,1.0,33.0
28874,4.0,185013,0.0,1.0,33.0
22445,2.5714285714285716,65170,0.14285714285714285,1.0,33.0
20026,0.0,17198,0.0,1.0,33.0
14788,0.0,0,0.0,1.0,28.0
15094,1.7966101694915255,45410,0.3050847457627119,1.0,28.0
23321,2.0779220779220777,31213,0.29545454545454547,1.0,33.0
28396,2.0217391304347827,55797,0.06521739130434782,1.0,43.0
23060,1.7916666666666667,0,0.75,1.0,33.0
22562,1.4444444444444444,20613,0.3333333333333333,1.0,33.0
26624,2.0572916666666665,14787,0.5208333333333334,1.0,43.0
24632,2.269230769230769,19301,0.5192307692307693,1.0,42.0
23913,1.8461538461538463,18142,0.3974358974358974,1.006451612903,43.0
21970,2.5714285714285716,73284,0.14285714285714285,1.0,33.0
24411,2.090909090909091,32041,0.5454545454545454,1.0,33.0
20524,1.7107438016528926,41005,0.256198347107438,1.0,33.0
25193,1.4444444444444444,8276,0.2222222222222222,1.0,33.0
25857,1.4285714285714286,28723,0.2857142857142857,1.0,33.0
30434,3.75,86796,0.25,1.0,33.0
28021,2.0,21349,0.5,1.0,33.0
25957,1.7878787878787878,44847,0.24242424242424243,1.0,33.0
19342,2.58,67502,0.18,1.0,33.0
23301,1.5555555555555556,49528,0.1111111111111111,1.0,33.0
12160,2.4246575342465753,37729,0.5753424657534246,1.0,28.0
21741,3.0,67435,0.14285714285714285,1.0,33.0
21990,2.0969387755102042,17208,0.5119047619047619,1.006849315068,33.0
36634,2.1185410334346506,11557,0.5683890577507599,1.003048780487,43.0
19820,2.3181818181818183,46753,0.2727272727272727,1.0,33.0
23899,1.896551724137931,34448,0.3793103448275862,1.0,33.0
22227,1.0,46853,0.14285714285714285,1.0,33.0
34974,2.4,36735,0.13333333333333333,1.0,43.0
33053,1.5789473684210527,43551,0.05263157894736842,1.0,33.0
21337,2.0847457627118646,43307,0.3559322033898305,1.0,33.0
30989,2.4,29895,0.2,1.0,33.0
22880,2.0,50664,0.0,1.0,43.0
27337,0.5,22850,0.0,1.0,33.0
30503,1.0,30368,0.0,1.0,43.0
14957,1.9333333333333333,38353,0.4666666666666667,1.0,28.0
35601,2.1666666666666665,14409,0.3888888888888889,1.0,43.0
17948,0.0,0,0.0,1.0,33.0
16225,2.26271186440678,34368,0.5296610169491526,1.0,32.95762711864407
30291,1.5,29495,0.2,1.0,33.0
24987,1.9565217391304348,34506,0.17391304347826086,1.0,33.0
34384,2.090909090909091,42529,0.18181818181818182,1.0,33.0
30056,1.5384615384615385,48735,0.15384615384615385,1.0,33.0
29956,1.6,13590,0.4,1.0,33.0
25628,2.0,46997,0.0,1.0,33.0
24589,3.0,0,1.0,1.0,33.0
20361,2.1176470588235294,50345,0.17647058823529413,1.0,33.0
26263,2.0,47659,0.17391304347826086,1.0,33.0
22033,2.7142857142857144,27168,0.7142857142857143,1.0,33.0
15443,3.5,48188,1.0,1.0,28.0
21935,1.0,44708,0.0,1.0,37.0
24099,1.0,0,1.0,1.0,33.0
29166,2.0,60841,0.3333333333333333,1.0,33.0
23707,1.8095238095238095,45889,0.19047619047619047,1.0,33.0
24297,1.8695652173913044,44493,0.17391304347826086,1.0,33.0
15100,2.875,12155,0.875,1.0,28.0
27002,1.5,41786,0.0,1.0,43.0
29707,2.4285714285714284,33032,0.3333333333333333,1.0,43.0
19731,2.361904761904762,58312,0.37142857142857144,1.0,33.0
10909,2.314814814814815,23397,0.6604938271604939,1.0,28.0
18403,1.631578947368421,32802,0.15789473684210525,1.0,33.0
28221,2.75,89248,0.0,1.0,43.0
13494,1.5454545454545454,25592,0.3181818181818182,1.0,28.0
25874,1.9137931034482758,43684,0.25,1.0,33.0
24878,1.2857142857142858,27831,0.42857142857142855,1.0,33.0
32821,1.5,58599,0.0,1.0,33.0
23999,0.0,0,0.0,1.0,33.0
24191,2.3055555555555554,49832,0.1111111111111111,1.0,43.0
34765,1.75,52227,0.0,1.0,33.0
25851,1.5384615384615385,64809,0.15384615384615385,1.0,33.0
29432,1.25,34882,0.0,1.0,33.0
22717,2.0681818181818183,0,0.7727272727272727,1.0,33.0
28127,2.125,64126,0.0,1.0,43.0
24832,2.1875,37468,0.3125,1.0,43.0
24045,2.15625,40269,0.40625,1.0,33.0
30119,0.5,20024,0.0,1.0,33.0
20232,1.1428571428571428,12194,0.2857142857142857,1.0,33.0
32226,2.0,63059,0.0,1.0,33.0
33560,2.0,63186,0.3333333333333333,1.0,43.0
20470,2.0617760617760617,28166,0.36293436293436293,1.003875968992,33.0
27626,1.3333333333333333,45028,0.0,1.0,33.0
21798,2.0,0,1.0,1.0,33.0
34247,2.4210526315789473,24233,0.5263157894736842,1.0,33.0
21583,1.3,35411,0.0,1.0,33.0
19614,2.0286343612334803,16349,0.4801762114537445,1.0,33.0
17524,2.3141025641025643,6340,0.6730769230769231,1.006451612903,28.0
21529,2.0,14047,0.4,1.0,33.0
32990,2.018450184501845,60517,0.11439114391143912,1.003703703703,5.0
22170,1.9285714285714286,33779,0.5,1.0,33.0
28121,2.272727272727273,60937,0.09090909090909091,1.0,33.0
18973,1.0,0,0.6666666666666666,1.0,33.0
21088,1.9230769230769231,35359,0.15384615384615385,1.0,33.0
19637,1.6666666666666667,0,0.6666666666666666,1.0,33.0
33717,1.9361702127659575,7334,0.6170212765957447,1.0,33.0
20982,2.05188679245283,43267,0.38207547169811323,1.0,34.132075471698116
30136,2.015625,54669,0.015625,1.015873015873,43.0
23982,2.3333333333333335,36425,0.3333333333333333,1.0,37.0
25559,1.8636363636363635,19634,0.3181818181818182,1.0,33.0
15824,1.8571428571428572,48166,0.2857142857142857,1.0,28.0
29532,1.0,52550,0.0,1.0,33.0
22216,2.238095238095238,53744,0.14285714285714285,1.0,33.0
20341,2.5,109264,0.5,1.0,33.0
20936,1.9929078014184398,42208,0.3404255319148936,1.0,33.0
22940,2.3529411764705883,32362,0.3176470588235294,1.0,33.0
18363,1.75,39763,0.3,1.0,33.0
30182,1.7567567567567568,38488,0.08108108108108109,1.0,43.0
19359,2.5,0,1.0,1.0,42.0
31988,1.8557692307692308,8767,0.5480769230769231,1.0,43.0
20295,1.9757785467128028,39625,0.39792387543252594,1.003472222222,33.0
22262,2.2222222222222223,32347,0.4444444444444444,1.0,33.0
13348,2.8333333333333335,86797,0.16666666666666666,1.0,28.0
24623,1.0,38627,0.0,1.0,33.0
29386,1.4594594594594594,46971,0.1891891891891892,1.0,33.0
14244,2.6,0,0.8,1.0,28.0
27423,0.75,11491,0.25,1.0,33.0
19253,1.0,0,1.0,1.0,28.0
14290,1.7560975609756098,18862,0.5365853658536586,1.0,28.0
21028,1.65,26036,0.4,1.0,33.0
28845,2.6,50188,0.3,1.0,37.0
31602,0.0,0,0.0,1.0,33.0
28453,2.0948905109489053,42489,0.17518248175182483,1.004188481675,43.0
29584,2.2222222222222223,46656,0.16666666666666666,1.0,33.0
29240,2.141078838174274,44465,0.17427385892116182,1.0,42.95850622406639
33863,1.9401709401709402,6202,0.5982905982905983,1.0,43.0
27912,2.0,54527,0.09375,1.0,43.0
12249,1.7142857142857142,4759,0.6428571428571429,1.0,28.0
20478,2.2266666666666666,35287,0.47333333333333333,1.006711409395,33.0
22399,1.845679012345679,39455,0.30864197530864196,1.0,33.0
19909,2.130434782608696,37792,0.43478260869565216,1.0,33.0
17988,2.0655737704918034,49867,0.3114754098360656,1.0,33.0
21403,2.3857142857142857,479,0.7857142857142857,1.0,42.0
12913,2.4285714285714284,1197,0.8285714285714286,1.0,28.0
31719,2.75,84518,0.25,1.0,33.0
20501,1.711111111111111,41873,0.26666666666666666,1.0,33.0
29157,1.7916666666666667,61732,0.041666666666666664,1.0,43.0
20999,2.1020408163265305,50393,0.29591836734693877,1.0,33.0
16683,2.0614886731391584,35128,0.44983818770226536,1.003246753246,33.0
28161,2.1475409836065573,55134,0.01639344262295082,1.0,43.0
33995,1.8461538461538463,67346,0.0,1.0,33.0
31198,1.8181818181818181,63945,0.18181818181818182,1.0,33.0
25362,1.5263157894736843,31649,0.10526315789473684,1.0,33.0
26195,3.0,89035,0.0,1.0,43.0
13053,1.6153846153846154,27340,0.46153846153846156,1.0,28.0
21758,3.0,38679,0.6666666666666666,1.0,33.0
20713,2.5,0,1.0,1.0,33.0
20836,2.3333333333333335,37072,0.6666666666666666,1.0,33.0
30082,2.0,53764,0.5,1.0,37.0
26836,0.0,0,0.0,1.0,43.0
25147,2.1744791666666665,6828,0.6692708333333334,1.002610966057,43.0
20576,1.5,39476,0.3181818181818182,1.0,33.0
30388,2.1181102362204722,12876,0.5039370078740157,1.0,43.0
18821,3.0,69771,0.0,1.0,33.0
25811,4.5,132582,0.0,1.0,33.0
23796,2.1490683229813663,35841,0.3105590062111801,1.0,33.0
25960,2.3333333333333335,65484,0.16666666666666666,1.0,33.0
25290,1.641025641025641,9794,0.5641025641025641,1.0,42.0
30749,3.5,109151,0.25,1.0,33.0
31290,1.0,46096,0.0,1.0,33.0
34069,1.875,39078,0.25,1.0,33.0
14101,2.6666666666666665,60350,0.16666666666666666,1.0,28.0
29249,4.0,123891,0.0,1.0,33.0
27360,1.3333333333333333,40731,0.2222222222222222,1.0,33.0
31439,3.1666666666666665,80664,0.3333333333333333,1.0,33.0
22465,2.0239726027397262,19194,0.4349315068493151,1.0,33.0
15432,4.0,50364,1.0,1.0,28.0
14719,0.0,0,0.0,1.0,28.0
19488,2.169491525423729,59084,0.14124293785310735,1.005681818181,33.0
30978,1.3333333333333333,29938,0.0,1.0,43.0
20507,2.1923076923076925,23695,0.5,1.0,33.0
17175,4.0,59368,0.0,1.0,33.0
29661,2.6666666666666665,64437,0.3333333333333333,1.0,43.0
20613,2.169642857142857,56460,0.17857142857142858,1.0,33.0
24600,2.3529411764705883,59530,0.17647058823529413,1.0,33.0
24941,1.2222222222222223,20954,0.3333333333333333,1.0,33.0
32011,2.25,70251,0.0,1.0,43.0
27932,1.8571428571428572,45798,0.2857142857142857,1.0,33.0
20023,2.0,24004,0.0,1.0,33.0
28287,2.197530864197531,13336,0.5703703703703704,1.0,42.97530864197531
27242,5.0,204640,0.0,1.0,33.0
30892,2.0365853658536586,58692,0.17682926829268292,1.0,5.0
23902,2.1818181818181817,57320,0.2727272727272727,1.0,33.0
20066,1.8943089430894309,41606,0.36585365853658536,1.0,33.0
23753,2.0416666666666665,38935,0.16666666666666666,1.0,43.0
24786,1.7272727272727273,36595,0.0,1.0,43.0
24294,1.6666666666666667,17271,0.3333333333333333,1.0,33.0
17118,1.9703389830508475,32162,0.4194915254237288,1.0,33.0
33099,2.75,63220,0.1388888888888889,1.0,43.0
20364,2.4545454545454546,54738,0.45454545454545453,1.0,33.0
24692,2.0,44333,0.0,1.0,33.0
19723,2.0933333333333333,48907,0.37333333333333335,1.0,33.0
26215,2.125,69809,0.125,1.0,33.0
28871,1.5,0,0.5,1.0,33.0
11004,2.0543933054393304,25206,0.5313807531380753,1.004201680672,28.0
21415,2.2790697674418605,55396,0.18604651162790697,1.0,33.0
35478,2.0652173913043477,50467,0.043478260869565216,1.0,33.0
19091,0.6666666666666666,13745,0.0,1.0,33.0
23668,1.0,0,1.0,1.0,33.0
22079,4.0,52848,1.0,1.0,33.0
19732,2.046242774566474,44771,0.23121387283236994,1.0,33.0
22056,2.2244897959183674,49313,0.3469387755102041,1.0,33.0
21392,2.297872340425532,46859,0.3829787234042553,1.0,33.0
34837,2.269230769230769,41737,0.1346153846153846,1.019607843137,43.0
23359,1.2,26989,0.2,1.0,33.8
26871,1.893939393939394,41424,0.14393939393939395,1.0,33.0
34791,1.9404761904761905,45058,0.08333333333333333,1.0,43.0
12856,1.875,30907,0.46875,1.0,28.0
23762,2.0,0,1.0,1.0,33.0
25188,2.5,0,0.75,1.0,33.0
13094,1.9639639639639639,28948,0.4369369369369369,1.0,28.0
22242,1.951219512195122,0,0.7073170731707317,1.0,33.0
23499,2.473684210526316,71810,0.13157894736842105,1.0,33.0
25491,2.5,33537,0.5,1.0,33.0
32962,2.2110091743119265,46765,0.1743119266055046,1.0,43.0
20273,1.826086956521739,0,0.8260869565217391,1.0,42.0
24804,0.0,27069,0.0,1.0,33.0
25806,1.2857142857142858,38710,0.14285714285714285,1.0,37.0
22294,2.2238805970149254,53718,0.2835820895522388,1.0,33.0
28786,1.1428571428571428,19441,0.2857142857142857,1.0,33.0
26447,2.0,67908,0.07692307692307693,1.0,43.0
19709,1.64,21966,0.36,1.0,33.0
31024,2.3333333333333335,30385,0.3333333333333333,1.0,43.0
30283,1.7777777777777777,67945,0.0,1.0,33.0
23545,2.411764705882353,43820,0.29411764705882354,1.0,33.0
25514,2.1917577796467618,7916,0.6383515559293524,1.00592216582,43.0
22317,2.0240641711229945,756,0.732620320855615,1.002680965147,42.0
31047,1.608695652173913,12640,0.43478260869565216,1.0,33.0
24186,2.4166666666666665,40252,0.5833333333333334,1.0,33.0
34883,4.0,127293,0.0,1.0,43.0
27063,1.0,52548,0.0,1.0,37.0
17247,1.9935064935064934,33403,0.45454545454545453,1.0,33.0
27658,2.0,39710,0.16666666666666666,1.0,33.0
25998,3.0,33275,0.0,1.0,33.0
32484,2.8,95161,0.2,1.0,33.0
21421,2.0,34454,0.0,1.0,37.0
12576,1.9644670050761421,28026,0.5228426395939086,1.0,28.0
32876,2.763157894736842,74708,0.02631578947368421,1.027027027027,43.0
18859,1.75,24711,0.75,1.0,33.0
23722,1.5714285714285714,54515,0.2857142857142857,1.0,33.0
22394,0.5,0,0.5,1.0,33.0
18719,1.9618055555555556,36230,0.46875,1.0,33.0
23035,2.1666666666666665,0,0.8333333333333334,1.0,33.0
19214,2.3076923076923075,35173,0.5641025641025641,1.0,33.0
20542,2.642857142857143,55800,0.42857142857142855,1.0,33.0
27621,1.5,40280,0.16666666666666666,1.0,33.0
21020,2.0729166666666665,42176,0.34375,1.0,33.0
35541,2.0,42758,0.19444444444444445,1.0,43.0
12315,2.3043478260869565,37120,0.43478260869565216,1.0,28.0
35000,2.0,64627,0.0,1.0,5.0
26971,2.0,50684,0.0,1.0,33.0
28262,0.0,37986,0.0,1.0,33.0
25938,0.5,0,1.0,1.0,33.0
20588,2.130434782608696,0,0.782608695652174,1.0,33.0
14339,2.1621621621621623,7777,0.6306306306306306,1.0,28.0
34751,1.7777777777777777,53995,0.0,1.0,43.0
18275,1.8955223880597014,42142,0.26865671641791045,1.0,33.0
13990,1.8571428571428572,34263,0.21428571428571427,1.0,28.0
22941,2.4193548387096775,69207,0.25806451612903225,1.0,33.0
24810,1.0,45948,0.0,1.0,33.0
23290,2.25,44085,0.4375,1.0,33.0
27959,2.0406976744186047,42782,0.1744186046511628,1.0,43.0
